creator,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth,acervo,source,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,confianca_preenchimento,museum_json,lat_birth,lon_birth,score_birth,lat_death,lon_death,score_death
Juan Ventayol,Uruguay,,,Montevideo,,Montevideo,male,,,,,,,MAC; outros,MAC; outros,Montevidéu (Uruguai),Círculo Fomento de Bellas Artes; estudos com Guillermo Laborde,1933-1938,https://www.museos.gub.uy/arteactivo/artistas/item/ventayol-juan.html | https://www.catalogodasartes.com.br/artista/Juan%20Ventayol/,https://www.museos.gub.uy/arteactivo/artistas/item/ventayol-juan.html | https://www.catalogodasartes.com.br/artista/Juan%20Ventayol/,https://www.catalogodasartes.com.br/artista/Juan%20Ventayol/,alta,MAC USP,-34.9055557,-56.1852505,100.0,-34.9055557,-56.1852505,100.0
Joan Vilacasas,Spain,,,Sabadell,,Barcelona,male,,,,,,,MAC,MAC,,,,,,,,,41.5486304,2.1074436,100.0,41.387917,2.1699187,100.0
Judith Lauand,Brazil,,,Pontal,,São Paulo,female,,,na escola de Araraquara aprende pintura com Mario Ybarra de Almeida e Domenico Lazzarini,,,,MAC; outros,MAC; outros,"Araraquara, Brasil; São Paulo, Brasil",Escola de Belas-Artes de Araraquara; estudos de gravura com Lívio Abramo,até 1950; 1952,https://www.escritoriodearte.com/artista/judith-lauand,https://www.escritoriodearte.com/artista/judith-lauand,https://www.escritoriodearte.com/artista/judith-lauand,alta,MAC USP,-21.0227393,-48.0379355,100.0,-23.5486657,-46.6382522,100.0
Joaquim Branco,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Moacy Cirne,Brazil,,,São José do Seridó,,Natal,male,,,,,,,MAC,MAC,,,,,,,,,-6.4479167,-36.8798357,100.0,-5.7945609,-35.2103978,100.0
Carlos Humberto Dantas,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Falves Silva,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Eduardo Gosson,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Marciano Lyrio,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Diógenes Metidieri,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
P. J. Ribeiro,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Vânia Lucila Valério,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Julio Leite,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Julio Meiron,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Julius Heinrich Bissier,Germany,,,Freiburg im Breisgau,,Ascona,male,,,As fontes confirmam estudos de história da arte em Freiburg e breve passagem pela academia de Karlsruhe.,,,,MAC; outros,MAC; outros,"Freiburg, Alemanha; Karlsruhe, Alemanha",University of Freiburg; Academy of Fine Art Karlsruhe,c. 1913–1918; c. 1913–1914,https://www.bissier.org/en/biography,https://www.bissier.org/en/biography,https://lorenzelliarte.com/en/artists/33-julius-bissier/biography/,media,MAC USP,47.994785999,7.849876999,100.0,46.155757232,8.772669437,100.0
Juliusz Garztecki,Poland,Stefan Batory Gymnasium and Lyceum,,Warsaw,Protestant Reformed Cemetery in Warsaw,Halinów,male,,,,,,,MAC,MAC,,,,,,,,,52.229827082,21.011731518,100.0,52.224221371,21.359722424,100.0
Juljan Czapski,,,,,,,,,,,,,,MAC,MAC,,,,,,,,,,,,,,
Júlio de Resende,,,,,,,,,,aperfeiçoamento posterior em Paris,,,,MAC; outros,MAC; outros,"Porto, Portugal; Paris, França",Escola Superior de Belas-Artes do Porto; Académie de la Grande Chaumière,1937–1945; c. 1947,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,media,MAC USP,,,,,,
